"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"GBR","Europe","United Kingdom","2020-10-17",708298,16186,16390.429,43669,150,117,10433.638,238.429,241.44,643.27,2.21,1.723,1.1,614,9.045,6538,96.309,NA,NA,NA,NA,308416,27226271,401.059,4.543,287027,4.228,0.057,17.5,"tests performed",NA,NA,NA,NA,NA,60.19,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-18",725292,16994,16977.857,43736,67,117.286,10683.97,250.331,250.094,644.257,0.987,1.728,1.14,630,9.28,6822,100.492,NA,NA,6942,102.26,306893,27533164,405.579,4.521,293876,4.329,0.058,17.3,"tests performed",NA,NA,NA,NA,NA,60.19,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-19",744122,18830,17666.286,43816,80,121.571,10961.346,277.377,260.235,645.435,1.178,1.791,1.22,658,9.693,7325,107.901,NA,NA,NA,NA,260338,27795752,409.447,3.835,299798,4.416,0.059,17,"tests performed",NA,NA,NA,NA,NA,65.74,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-20",765487,21365,18254.143,44057,241,135.571,11276.065,314.719,268.894,648.985,3.55,1.997,1.33,698,10.282,7844,115.547,NA,NA,NA,NA,279996,28078061,413.606,4.125,296936,4.374,0.061,16.3,"tests performed",NA,NA,NA,NA,NA,65.74,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-21",792194,26707,19247.857,44248,191,143.286,11669.475,393.41,283.532,651.799,2.814,2.111,1.45,712,10.488,8124,119.671,NA,NA,NA,NA,310331,28399160,418.336,4.571,299735,4.415,0.064,15.6,"tests performed",NA,NA,NA,NA,NA,65.74,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-22",813451,21257,19570.857,44437,189,150.571,11982.602,313.128,288.29,654.583,2.784,2.218,1.23,708,10.429,8302,122.293,NA,NA,NA,NA,340137,28744122,423.417,5.01,305488,4.5,0.064,15.6,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-23",834010,20559,20271.143,44661,224,163.143,12285.448,302.846,298.606,657.882,3.3,2.403,1.15,744,10.96,8878,130.778,NA,NA,NA,NA,346682,29090966,428.527,5.107,310444,4.573,0.065,15.3,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-24",857043,23033,21249.286,44835,174,166.571,12624.738,339.289,313.014,660.445,2.563,2.454,1.17,788,11.608,9251,136.273,NA,NA,NA,NA,317896,29408862,433.21,4.683,311799,4.593,0.068,14.7,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-25",876840,19797,21649.714,44986,151,178.571,12916.359,291.621,318.913,662.67,2.224,2.63,1.07,828,12.197,9776,144.006,NA,NA,8764,129.099,321114,29729976,437.94,4.73,313830,4.623,0.069,14.5,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-26",897740,20900,21945.429,45088,102,181.714,13224.228,307.869,323.269,664.172,1.503,2.677,1.09,853,12.565,10098,148.749,NA,NA,NA,NA,261861,29994334,441.834,3.857,314083,4.627,0.07,14.3,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-27",920664,22924,22168.143,45455,367,199.714,13561.912,337.684,326.55,669.578,5.406,2.942,1.15,903,13.302,10926,160.946,NA,NA,NA,NA,280997,30282279,446.075,4.139,314888,4.638,0.07,14.2,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-28",945378,24714,21883.429,45765,310,216.714,13925.963,364.051,322.356,674.145,4.566,3.192,1.18,957,14.097,11423,168.267,NA,NA,NA,NA,308810,30591229,450.626,4.549,313153,4.613,0.07,14.3,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-29",968456,23078,22143.571,46045,280,229.714,14265.916,339.952,326.188,678.269,4.125,3.384,1.13,974,14.348,11570,170.433,NA,NA,NA,NA,347632,30941157,455.781,5.121,313862,4.623,0.071,14.2,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-30",992874,24418,22694.857,46319,274,236.857,14625.607,359.691,334.308,682.306,4.036,3.489,1.12,979,14.421,11775,173.453,NA,NA,NA,NA,305207,31249759,460.327,4.496,308399,4.543,0.074,13.6,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-10-31",1014793,21919,22535.714,46645,326,258.571,14948.486,322.88,331.964,687.108,4.802,3.809,1.04,1003,14.775,12292,181.068,NA,NA,NA,NA,292573,31544773,464.673,4.31,305130,4.495,0.074,13.5,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-01",1038054,23261,23030.571,46807,162,260.143,15291.134,342.648,339.254,689.494,2.386,3.832,1.04,979,14.421,12206,179.801,NA,NA,10395,153.124,270473,31817159,468.685,3.984,298169,4.392,0.077,12.9,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-02",1057021,18967,22754.429,46943,136,265,15570.529,279.395,335.186,691.497,2.003,3.904,0.93,1075,15.835,13091,192.838,NA,NA,NA,NA,207831,32038760,471.949,3.061,292061,4.302,0.078,12.8,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-03",1077099,20078,22347.857,47340,397,269.286,15866.29,295.761,329.197,697.346,5.848,3.967,0.98,1144,16.852,13735,202.324,NA,NA,NA,NA,265136,32309598,475.939,3.906,289617,4.266,0.077,13,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-04",1102305,25206,22418.143,47832,492,295.286,16237.589,371.299,330.232,704.593,7.247,4.35,1.12,1193,17.574,13804,203.341,NA,NA,NA,NA,301288,32622996,480.556,4.438,290252,4.276,0.077,12.9,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-05",1126469,24164,22573.286,48210,378,309.286,16593.538,355.95,332.518,710.161,5.568,4.556,1.1,1183,17.426,13782,203.017,NA,NA,NA,NA,344159,32970741,485.678,5.07,289941,4.271,0.078,12.8,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-06",1149791,23322,22416.714,48565,355,320.857,16937.085,343.547,330.211,715.39,5.229,4.726,1.06,1187,17.485,13942,205.374,NA,NA,NA,NA,355032,33325865,490.909,5.23,296587,4.369,0.076,13.2,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-07",1174770,24979,22853.857,48978,413,333.286,17305.04,367.955,336.65,721.474,6.084,4.909,1.07,1207,17.78,14298,210.618,NA,NA,NA,NA,329430,33655295,495.762,4.853,301503,4.441,0.076,13.2,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-08",1195350,20580,22470.857,49134,156,332.429,17608.195,303.155,331.009,723.772,2.298,4.897,0.96,1232,18.148,14529,214.021,NA,NA,10984,161.801,283397,33941724,499.981,4.175,303509,4.471,0.074,13.5,"tests performed",NA,NA,NA,NA,NA,75,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-09",1216747,21397,22818,49329,195,340.857,17923.385,315.19,336.122,726.645,2.872,5.021,0.96,1271,18.723,15122,222.756,NA,NA,NA,NA,243245,34185815,503.577,3.583,306722,4.518,0.074,13.4,"tests performed",NA,NA,NA,NA,NA,69.44,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-10",1237198,20451,22871.286,49861,532,360.143,18224.64,301.255,336.907,734.481,7.837,5.305,0.97,1219,17.957,14944,220.134,NA,NA,NA,NA,304843,34490306,508.062,4.491,311530,4.589,0.073,13.6,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-11",1260198,23000,22556.143,50457,596,375,18563.444,338.803,332.265,743.261,8.779,5.524,1.09,1268,18.678,15645,230.46,NA,NA,NA,NA,377608,34871387,513.676,5.562,321199,4.731,0.07,14.2,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-12",1293715,33517,23892.286,51020,563,401.429,19057.168,493.725,351.947,751.554,8.293,5.913,1.33,1275,18.781,15855,233.553,NA,NA,NA,NA,379955,35252165,519.285,5.597,325918,4.801,0.073,13.6,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-13",1321031,27316,24462.857,51396,376,404.429,19459.549,402.38,360.352,757.093,5.539,5.957,1.18,1355,19.96,16210,238.783,NA,NA,NA,NA,382110,35634389,524.915,5.629,329789,4.858,0.074,13.5,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-14",1347907,26876,24733.857,51858,462,411.429,19855.448,395.899,364.344,763.898,6.806,6.061,1.1,1365,20.107,16277,239.77,NA,NA,NA,NA,343784,35978280,529.981,5.064,331855,4.888,0.075,13.4,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-15",1372884,24977,25362,52026,168,413.143,20223.373,367.926,373.597,766.373,2.475,6.086,1.01,1397,20.579,16841,248.078,NA,NA,12399,182.644,283866,36260720,534.141,4.182,331285,4.88,0.077,13.1,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-16",1394299,21415,25364.571,52240,214,415.857,20538.829,315.455,373.635,769.525,3.152,6.126,0.9,1391,20.49,17291,254.706,NA,NA,NA,NA,234189,36513502,537.865,3.45,332527,4.898,0.076,13.1,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-17",1414359,20060,25308.714,52839,599,425.429,20834.324,295.495,372.812,778.349,8.824,6.267,0.86,1420,20.917,17415,256.533,NA,NA,NA,NA,283358,36797786,542.053,4.174,329640,4.856,0.077,13,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-18",1434004,19645,24829.429,53368,529,415.857,21123.706,289.382,365.752,786.141,7.792,6.126,0.86,1430,21.065,17463,257.24,NA,NA,NA,NA,364490,37172632,547.574,5.369,328749,4.843,0.076,13.2,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-19",1456940,22936,23317.857,53870,502,407.143,21461.567,337.861,343.485,793.536,7.395,5.997,0.94,1426,21.006,17436,256.842,NA,NA,NA,NA,395436,37575856,553.514,5.825,331956,4.89,0.07,14.2,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-20",1477214,20274,22311.857,54381,511,426.429,21760.214,298.648,328.667,801.064,7.527,6.282,0.89,1421,20.932,17156,252.718,NA,NA,NA,NA,391667,37967604,559.285,5.769,333316,4.91,0.067,14.9,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-21",1497135,19921,21318.286,54721,340,409,22053.662,293.448,314.031,806.072,5.008,6.025,0.87,1447,21.315,17035,250.935,NA,NA,NA,NA,369040,38336683,564.721,5.436,336915,4.963,0.063,15.8,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-22",1515802,18667,20416.857,55120,399,442,22328.638,274.976,300.752,811.949,5.878,6.511,0.82,1454,21.418,17235,253.881,NA,NA,11414,168.135,279041,38620055,568.896,4.11,337048,4.965,0.061,16.5,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-23",1531267,15465,19566.857,55327,207,441,22556.446,227.808,288.231,814.999,3.049,6.496,0.73,1487,21.904,17650,259.995,NA,NA,NA,NA,212533,38834497,572.055,3.131,331571,4.884,0.059,16.9,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-24",1542611,11344,18321.714,55935,608,442.286,22723.55,167.104,269.889,823.955,8.956,6.515,0.66,1489,21.934,17394,256.224,NA,NA,NA,NA,311763,39149830,576.7,4.592,336006,4.95,0.055,18.3,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-25",1560872,18261,18124,56630,695,466,22992.545,268.995,266.977,834.193,10.238,6.864,0.86,1480,21.801,17104,251.952,NA,NA,NA,NA,356026,39504682,581.927,5.244,333150,4.907,0.054,18.4,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-26",1578429,17557,17355.571,57128,498,465.429,23251.17,258.625,255.658,841.528,7.336,6.856,0.87,1456,21.448,16731,246.457,NA,NA,NA,NA,383521,39888901,587.587,5.649,330435,4.867,0.053,19,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-27",1593250,14821,16576.571,57648,520,466.714,23469.492,218.322,244.182,849.188,7.66,6.875,0.81,1417,20.873,16536,243.585,NA,NA,NA,NA,333917,40223088,592.509,4.919,322212,4.746,0.051,19.4,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-28",1609141,15891,16000.857,58127,479,486.571,23703.575,234.084,235.702,856.244,7.056,7.167,0.82,1378,20.299,15952,234.982,NA,NA,NA,NA,311126,40534403,597.095,4.583,313960,4.625,0.051,19.6,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-29",1621305,12164,15071.857,58342,215,460.286,23882.758,179.183,222.017,859.411,3.167,6.78,0.72,1388,20.446,16277,239.77,NA,NA,9963,146.761,219899,40756444,600.366,3.239,305198,4.496,0.049,20.2,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-11-30",1633733,12428,14638,58545,203,459.714,24065.83,183.072,215.626,862.402,2.99,6.772,0.75,1357,19.989,16527,243.452,NA,NA,NA,NA,214835,40989701,603.802,3.165,307886,4.535,0.048,21,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-01",1647230,13497,14945.571,59148,603,459,24264.648,198.819,220.157,871.284,8.883,6.761,0.83,1351,19.901,16274,239.725,NA,NA,NA,NA,312003,41307854,608.489,4.596,308289,4.541,0.048,20.6,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-02",1663467,16237,14656.429,59796,648,452.286,24503.829,239.18,215.898,880.83,9.545,6.662,0.95,1315,19.371,15939,234.791,NA,NA,NA,NA,352990,41660895,613.689,5.2,308030,4.537,0.048,21,"tests performed",NA,NA,NA,NA,NA,70.37,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-03",1678418,14951,14284.143,60210,414,440.286,24724.065,220.237,210.414,886.928,6.098,6.486,0.95,1261,18.575,15619,230.077,NA,NA,NA,NA,389476,42052539,619.458,5.737,309091,4.553,0.046,21.6,"tests performed",NA,NA,NA,NA,NA,63.89,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-04",1694800,16382,14507.143,60714,504,438,24965.382,241.316,213.699,894.352,7.424,6.452,1,1274,18.767,15688,231.093,NA,NA,NA,NA,380886,42433500,625.07,5.611,315773,4.652,0.046,21.8,"tests performed",NA,NA,NA,NA,NA,63.89,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-05",1710379,15579,14462.571,61111,397,426.286,25194.869,229.488,213.042,900.2,5.848,6.279,0.99,1247,18.369,15647,230.489,NA,NA,NA,NA,354799,42788342,630.297,5.226,321991,4.743,0.045,22.3,"tests performed",NA,NA,NA,NA,NA,63.89,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-06",1727751,17372,15206.571,61342,231,428.571,25450.769,255.9,224.002,903.603,3.403,6.313,1.03,1249,18.398,15919,234.496,NA,NA,10103,148.823,272787,43061173,634.316,4.018,329247,4.85,0.046,21.7,"tests performed",NA,NA,NA,NA,NA,63.89,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-07",1742525,14774,15541.714,61531,189,426.571,25668.398,217.63,228.938,906.387,2.784,6.284,0.94,1271,18.723,16369,241.125,NA,NA,NA,NA,215981,43279583,637.533,3.182,327126,4.819,0.048,21,"tests performed",NA,NA,NA,NA,NA,63.89,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-08",1754911,12386,15383,62130,599,426,25850.851,182.453,226.6,915.211,8.824,6.275,0.89,1272,18.737,16428,241.994,NA,NA,NA,NA,294966,43574642,641.88,4.345,323827,4.77,0.048,21.1,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-09",1771545,16634,15439.714,62663,533,409.571,26095.88,245.028,227.436,923.062,7.851,6.033,1.08,1243,18.31,16281,239.829,NA,NA,NA,NA,369586,43957226,647.515,5.444,328047,4.832,0.047,21.2,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-10",1792611,21066,16313.286,63179,516,424.143,26406.194,310.314,240.304,930.663,7.601,6.248,1.27,1267,18.664,16670,245.559,NA,NA,NA,NA,400646,44357906,653.418,5.902,329338,4.851,0.05,20.2,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-11",1814395,21784,17085,63603,424,412.714,26727.085,320.891,251.672,936.909,6.246,6.08,1.29,1275,18.781,16829,247.901,NA,NA,NA,NA,391531,44749538,659.187,5.767,330863,4.874,0.052,19.4,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-12",1835949,21554,17938.571,64123,520,430.286,27044.588,317.503,264.246,944.569,7.66,6.338,1.23,1243,18.31,16849,248.195,NA,NA,NA,NA,358491,45108048,664.468,5.281,331387,4.882,0.054,18.5,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-13",1854490,18541,18105.571,64267,144,417.857,27317.707,273.12,266.706,946.69,2.121,6.155,1.11,1281,18.87,17477,257.446,NA,NA,12094,178.152,312273,45420339,669.068,4.6,337024,4.965,0.054,18.6,"tests performed",NA,NA,NA,NA,NA,67.59,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-14",1874867,20377,18906,64500,233,424.143,27617.872,300.165,278.496,950.122,3.432,6.248,1.13,1288,18.973,18185,267.876,NA,NA,NA,NA,275772,45696137,673.13,4.062,345222,5.085,0.055,18.3,"tests performed",NA,NA,NA,NA,NA,69.44,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-15",1893436,18569,19789.286,65006,506,410.857,27891.405,273.532,291.508,957.576,7.454,6.052,1.13,1326,19.533,18149,267.345,NA,NA,NA,NA,304360,46009318,677.744,4.483,347811,5.123,0.057,17.6,"tests performed",NA,NA,NA,NA,NA,69.44,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-16",1918736,25300,21027.286,65618,612,422.143,28264.088,372.684,309.744,966.591,9.015,6.218,1.38,1340,19.739,18601,274.003,NA,NA,NA,NA,364388,46373777,683.112,5.368,345222,5.085,0.061,16.4,"tests performed",NA,NA,NA,NA,NA,69.44,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-17",1954268,35532,23093.857,66150,532,424.429,28787.495,523.407,340.186,974.428,7.837,6.252,1.62,1366,20.122,18893,278.305,NA,NA,NA,NA,375185,46771368,688.969,5.527,344780,5.079,0.067,14.9,"tests performed",NA,NA,NA,NA,NA,69.44,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-18",1982828,28560,24061.857,66640,490,433.857,29208.2,420.705,354.445,981.646,7.218,6.391,1.39,1364,20.093,19034,280.382,NA,NA,NA,NA,390130,47162512,694.731,5.747,344711,5.078,0.07,14.3,"tests performed",NA,NA,NA,NA,NA,69.44,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"GBR","Europe","United Kingdom","2020-12-19",2010077,27249,24875.429,67177,537,436.286,29609.594,401.393,366.429,989.556,7.91,6.427,1.31,1412,20.8,19379,285.464,NA,NA,NA,NA,440584,47603238,701.223,6.49,356456,5.251,0.07,14.3,"tests performed",NA,NA,NA,NA,NA,73.15,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
